Timestamp,Give yourself a compliment!,... and who are you? (optional)
12/21/2021 19:33:04,You're looking mad cute today :),Richard Li
12/21/2021 19:35:42,Compliment #2,Complimenter #2
12/21/2021 19:35:50,Compliment #3,Complimenter #3
12/21/2021 21:00:41,you beautiful beam of sunshine you,Rucha!
12/21/2021 21:09:03,You are enough!,
12/21/2021 21:09:10,I appreciate you!,
12/21/2021 21:09:32,You look good today!,
12/21/2021 21:34:58,I love running into you on campus!,
12/21/2021 22:46:23,You are a very good potato! ,
12/22/2021 3:36:32,You make someone in this world happy <3,
12/22/2021 18:59:12,Your breath smells amazing this morning!,
12/24/2021 0:46:01,"I like your shoes! If you aren't wearing shoes, I like your feet!",Caitlin C
12/24/2021 23:01:23,Today is your day to shine!,CJ
12/24/2021 23:01:42,You’re awesome.,
12/24/2021 23:02:24,You look nice today,
12/24/2021 23:02:32,You bring joy to the world.,
12/24/2021 23:03:00,Your smile is brilliant. Smile more. Do people tell you that enough?,
12/24/2021 23:03:58,"You can code in Python, Richard! ",
12/25/2021 2:37:08,Nice cock!,Andrew
